answer,rt,expName,participant,contrast,language,item,experimentType,word,contrast_location,moras,prof
1,0.918249846,abx,l2_3,s,l2,9,presential ,gaki,1,2,N2
1,1.16899991,abx,l2_3,s,l2,10,presential ,garasu,1,3,N2
1,1.318700075,abx,l2_3,v,l2,11,presential ,seito,1,3,N2
1,1.43423295,abx,l2_3,v,l2,12,presential ,biru,1,2,N2
1,1.117483139,abx,l2_3,a,l2,13,presential ,iSHI,2,2,N2
1,1.13559103,abx,l2_3,v,l2,14,presential ,sayu,2,2,N2
1,0.884927988,abx,l2_3,a,l2,15,presential ,HAshi,1,2,N2
1,1.051177979,abx,l2_3,a,l2,16,presential ,kaMI,2,2,N2
1,1.067059994,abx,l2_3,a,l2,17,presential ,iCHI,2,2,N2
1,1.185940027,abx,l2_3,v,l2,18,presential ,rikaa,2,3,N2
1,0.951902866,abx,l2_3,a,l2,19,presential ,KAmi,2,2,N2
1,1.269214869,abx,l2_3,v,l2,20,presential ,kaado,1,3,N2
1,0.851573944,abx,l2_3,a,l2,21,presential ,aME,2,2,N2
1,0.801885128,abx,l2_3,s,l2,22,presential ,gantan,1,4,N2
1,0.918945074,abx,l2_3,a,l2,23,presential ,saKE,2,2,N2
1,0.90199995,abx,l2_3,a,l2,24,presential ,haSHI,2,2,N2
1,1.234841824,abx,l2_3,s,l2,25,presential ,ginkou,1,4,N2
1,1.052126169,abx,l2_3,a,l2,26,presential ,iCHI,2,2,N2
1,1.001753092,abx,l2_3,a,l2,27,presential ,aME,2,2,N2
1,0.88606286,abx,l2_3,a,l2,28,presential ,saKE,2,2,N2
1,1.068301916,abx,l2_3,s,l2,29,presential ,kamu,1,2,N2
1,0.901530027,abx,l2_3,s,l2,30,presential ,kaado,1,3,N2
1,0.701207161,abx,l2_3,s,l2,31,presential ,gaado,1,3,N2
1,1.018768072,abx,l2_3,v,l2,32,presential ,yuuri,1,3,N2
1,0.601073027,abx,l2_3,v,l2,33,presential ,yuri,1,2,N2
1,0.768303871,abx,l2_3,a,l2,34,presential ,kuRASU,2,3,N2
1,0.818559885,abx,l2_3,s,l2,35,presential ,kenkou,1,3,N2
1,0.818949938,abx,l2_3,v,l2,36,presential ,biiru,1,3,N2
1,0.785610199,abx,l2_3,a,l2,37,presential ,kaERU,2,3,N2
1,0.934397936,abx,l2_3,s,l2,38,presential ,kaikoku,1,4,N2
1,0.918977976,abx,l2_3,v,l2,39,presential ,rika,2,2,N2
1,0.86776495,abx,l2_3,s,l2,40,presential ,genkou,1,4,N2
1,0.651484013,abx,l2_3,s,l2,41,presential ,kaki,1,2,N2
1,0.70124197,abx,l2_3,s,l2,42,presential ,gaado,1,3,N2
1,1.134361982,abx,l2_3,a,l2,43,presential ,Oku,1,2,N2
1,0.802093029,abx,l2_3,s,l2,44,presential ,garasu,1,3,N2
1,0.651974201,abx,l2_3,s,l2,45,presential ,gaikoku,1,4,N2
1,0.834780216,abx,l2_3,s,l2,46,presential ,gaikoku,1,4,N2
1,1.068845987,abx,l2_3,s,l2,47,presential ,ginkou,1,4,N2
1,1.168885946,abx,l2_3,v,l2,48,presential ,biiru,1,3,N2
1,0.851588964,abx,l2_3,v,l2,49,presential ,seito,1,3,N2
1,0.668316841,abx,l2_3,a,l2,50,presential ,KUrasu,1,3,N2
1,0.63470912,abx,l2_3,s,l2,51,presential ,gamu,1,2,N2
1,0.801310062,abx,l2_3,v,l2,52,presential ,yuuri,1,3,N2
1,0.601611853,abx,l2_3,a,l2,53,presential ,Ame,1,2,N2
1,1.168493032,abx,l2_3,v,l2,54,presential ,yuri,1,2,N2
1,0.718346834,abx,l2_3,s,l2,55,presential ,kinkou,1,4,N2
1,0.752292156,abx,l2_3,a,l2,56,presential ,niHON,2,3,N2
1,0.617816925,abx,l2_3,a,l2,57,presential ,SAke,1,2,N2
1,0.468935966,abx,l2_3,s,l2,58,presential ,gantan,1,4,N2
1,0.500975847,abx,l2_3,a,l2,59,presential ,oKU,2,2,N2
