data,model,phonol_emb,fixed_emb,emsize,nhid,nlayers,lr,anneal_factor,anneal_train,patience,clip,epochs,dropout,tied,seed,cuda,stress,log_interval,save_dir,summary,condition,run,feat_tree,alphabet,set_unset_nodes,random_reset,dropout:,epoch,train_loss,val_loss,val_ppl,epoch_time,current_lr,run_cond
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,20,1.8523,2.1016,8.179298336639226,154.4378867149353,0.00048828125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,21,1.8524,2.1015,8.178186857053333,156.1412124633789,0.00048828125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,22,1.8512,2.1014,8.177276336344363,154.81274461746216,0.0001220703125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,23,1.8515,2.1013,8.17669732130703,154.02986240386963,0.0001220703125,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,24,1.8519,2.1012,8.176377613402101,150.67396330833435,3.0517578125e-05,2-0
data/processed/,LSTM,True,False,68,512,2,0.5,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/2-0,results/grid_lr/summary_grid_lr.csv,2,0,Futrell,IPA,True,False,0.2,25,1.8514,2.1012,8.176089107242985,153.58614659309387,7.62939453125e-06,2-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,1,2.2818,2.4582,11.683789427417075,153.60231065750122,1.0,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,2,2.1547,2.3823,10.829706780671561,153.8830804824829,1.0,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,3,2.1199,2.3427,10.408837260215273,152.48848676681519,1.0,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,4,2.0962,2.3281,10.258866997550879,151.8841872215271,1.0,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,5,2.0790,2.2917,9.891705210949302,154.53632593154907,1.0,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,6,2.0665,2.3442,10.424438730126138,155.2462637424469,1.0,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,7,1.9859,2.2581,9.564951348148178,153.72707295417786,0.25,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,8,1.9641,2.2553,9.538029683404252,151.20108079910278,0.25,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,9,1.9510,2.2337,9.334237294020546,156.12889695167542,0.25,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,10,1.9386,2.2327,9.325006220847344,151.17798781394958,0.25,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,11,1.9266,2.2263,9.265712356008406,151.0775465965271,0.25,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,12,1.9155,2.2379,9.373914464404494,154.1249270439148,0.25,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,13,1.8789,2.2417,9.409382454991748,157.24753832817078,0.0625,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,14,1.8634,2.2331,9.329169082622313,153.84079933166504,0.015625,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,15,1.8571,2.2248,9.251271571042375,155.85629057884216,0.00390625,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,16,1.8569,2.2222,9.227731727193158,146.40457487106323,0.00390625,3-0
data/processed/,LSTM,True,False,68,512,2,1.0,0.25,False,0,5,25,0.2,False,0,True,False,200,results/grid_lr/3-0,results/grid_lr/summary_grid_lr.csv,3,0,Futrell,IPA,True,False,0.2,17,1.8545,2.2217,9.223143537471008,152.06860852241516,0.00390625,3-0
